time_step,method,task_id,position,urgency,duration
75,Greedy,E38,"(14, 12)",10,12.0
75,Greedy,E39,"(62, 47)",8,14.0
75,Auction,E17,"(92, 80)",52,22.0
75,Auction,E18,"(1, 27)",46,15.0
75,Auction,E19,"(41, 18)",49,24.0
75,Auction,E22,"(39, 92)",40,29.0
75,Auction,E23,"(12, 20)",38,15.0
75,Auction,E24,"(78, 42)",40,25.0
75,Auction,E25,"(33, 41)",31,17.0
75,Auction,E26,"(73, 66)",27,12.0
75,Auction,E27,"(0, 68)",35,24.0
75,Auction,E28,"(61, 14)",22,10.0
75,Auction,E29,"(73, 21)",27,18.0
75,Auction,E30,"(95, 1)",22,18.0
75,Auction,E31,"(7, 23)",14,13.0
75,Auction,E32,"(44, 26)",16,19.0
75,Auction,E33,"(89, 55)",15,28.0
75,Auction,E34,"(94, 21)",12,26.0
75,Auction,E35,"(23, 49)",9,18.0
75,Auction,E36,"(53, 60)",7,15.0
75,Auction,E37,"(41, 43)",6,24.0
75,Auction,E39,"(62, 47)",8,14.0
75,Q-Learning,E14,"(46, 39)",58,27.0
75,Q-Learning,E17,"(92, 80)",52,22.0
75,Q-Learning,E18,"(1, 27)",46,15.0
75,Q-Learning,E19,"(41, 18)",49,24.0
75,Q-Learning,E20,"(29, 80)",48,13.0
75,Q-Learning,E22,"(39, 92)",40,29.0
75,Q-Learning,E23,"(12, 20)",38,15.0
75,Q-Learning,E25,"(33, 41)",31,17.0
75,Q-Learning,E26,"(73, 66)",27,12.0
75,Q-Learning,E27,"(0, 68)",35,24.0
75,Q-Learning,E28,"(61, 14)",22,10.0
75,Q-Learning,E29,"(73, 21)",27,18.0
75,Q-Learning,E30,"(95, 1)",22,18.0
75,Q-Learning,E31,"(7, 23)",14,13.0
75,Q-Learning,E33,"(89, 55)",15,28.0
75,Q-Learning,E34,"(94, 21)",12,26.0
75,Q-Learning,E35,"(23, 49)",9,18.0
75,Q-Learning,E36,"(53, 60)",7,15.0
75,Q-Learning,E37,"(41, 43)",6,24.0
75,Q-Learning,E38,"(14, 12)",10,12.0
75,Q-Learning,E39,"(62, 47)",8,14.0
76,Greedy,E16,"(25, 53)",52,19.0
76,Greedy,E18,"(1, 27)",47,15.0
76,Greedy,E19,"(41, 18)",50,24.0
76,Greedy,E22,"(39, 92)",41,29.0
76,Greedy,E23,"(12, 20)",39,15.0
76,Greedy,E24,"(78, 42)",41,25.0
76,Greedy,E25,"(33, 41)",32,17.0
76,Greedy,E26,"(73, 66)",28,12.0
76,Greedy,E27,"(0, 68)",36,24.0
76,Greedy,E28,"(61, 14)",23,10.0
76,Greedy,E29,"(73, 21)",28,18.0
76,Greedy,E30,"(95, 1)",23,18.0
76,Greedy,E31,"(7, 23)",15,13.0
